#date,#size
04/08/2024,451433759881
05/08/2024,452051632765
06/08/2024,452672653952
07/08/2024,453299176095
08/08/2024,453925175245
09/08/2024,454577652077
10/08/2024,455204438412
11/08/2024,455829127961
12/08/2024,456461680642
13/08/2024,457086632285
14/08/2024,457715254158
15/08/2024,458343612823
16/08/2024,458964894424
17/08/2024,459588272763
18/08/2024,460202739145
19/08/2024,460823495561
20/08/2024,461446086910
21/08/2024,462068154992
22/08/2024,462692320483
23/08/2024,463318844501
24/08/2024,463946154339
25/08/2024,464589980498
26/08/2024,465220175428
27/08/2024,465850106286
28/08/2024,466475320761
29/08/2024,467119932294
30/08/2024,467759563947
31/08/2024,468391068178
01/09/2024,469025455632
02/09/2024,469660108160
03/09/2024,470307866162
04/09/2024,470953527038
05/09/2024,471603120782
06/09/2024,472239868361
07/09/2024,472876353418
08/09/2024,473519916785
09/09/2024,474162955103
10/09/2024,474804422318
11/09/2024,475447985023
12/09/2024,476088928235
13/09/2024,476737210545
14/09/2024,477403580544
15/09/2024,478057628680
16/09/2024,478705912055
17/09/2024,479353408225
18/09/2024,480057788962
19/09/2024,480801227200
20/09/2024,481539162728
21/09/2024,482295709685
22/09/2024,483051732679
23/09/2024,483807494344
24/09/2024,484570332964
25/09/2024,485346280015
26/09/2024,486121964575
27/09/2024,486908134925
28/09/2024,487697972540
29/09/2024,488481520677
30/09/2024,489273982562
01/10/2024,490046261899
02/10/2024,490805953287
03/10/2024,491582423852
04/10/2024,492344737959
05/10/2024,493116227623
06/10/2024,493888506226
07/10/2024,494654227511
08/10/2024,495417590695
09/10/2024,496200090045
10/10/2024,496964502076
11/10/2024,497749098706
12/10/2024,498513773204
13/10/2024,499291291025
14/10/2024,500055965750
15/10/2024,500820901080
16/10/2024,501579286278
17/10/2024,502342124435
18/10/2024,503098935294
19/10/2024,503875928977
20/10/2024,504667604045
21/10/2024,505443025015
